Município,Declarantes do IRPF na população (%),Patrimônio liquido médio da população (R$),Patrimônio liquido médio dos declarantes (R$),Domicílios com bens duráveis (%),Veículos por pessoa (%),Domicílios com bens duráveis teste (%)
Catanduvas,7.95,1888753,23766027,0.474,0.5245,47.4
Centenário do Sul,9.78,1543716,15780208,0.4997,0.432,49.97
Cerro Azul,7.03,764659,10874131,0.3449,0.8198,34.49
Céu Azul,15.42,4101100,26603126,0.5768,0.4063,57.68
Chopinzinho,14.74,4295999,29147400,0.5442,0.1845,54.42
Cianorte,14.73,5259667,35719026,0.6411,56.794,64.11
Cidade Gaúcha,11.49,2952400,25701951,0.5499,0.4427,54.99
Clevelândia,11.19,2700680,24131549,0.5029,0.0481,50.29
Colombo,14.51,1573961,10848320,0.634,65.186,63.4
Colorado,16.3,3851241,23631059,0.5796,21.768,57.96
Congonhinhas,7.01,1018337,14524004,0.4141,1.065,41.41
Conselheiro Mairinck,9.52,1118980,11753836,0.4493,0.1141,44.93
Contenda,11.69,1847766,15806707,0.5381,0.7189,53.81
Corbélia,15.76,4805280,30497579,0.6001,0.3081,60.01
Cornélio Procópio,19.23,5409835,28135377,0.6202,5.15,62.02
Coronel Domingos Soares,6.69,499364,7463657,0.3799,0.1077,37.99
Coronel Vivida,13.73,4266079,31078194,0.5631,44.475,56.31
Corumbataí do Sul,9.63,1637281,17009223,0.4367,0.5823,43.67
Cruz Machado,4.5,622802,13829309,0.4621,0.5005,46.21
Cruzeiro do Iguaçu,11.89,2514671,21155172,0.4756,0.6091,47.56
Cruzeiro do Oeste,11.84,2318278,19581040,0.5422,0.9663,54.22
Cruzeiro do Sul,12.07,2562581,21230772,0.4806,10.213,48.06
Cruzmaltina,9.17,1277977,13929000,0.4728,0.001,47.28
Curitiba,30.41,15836133,52082899,0.6904,1.157.972,69.04
Curiúva,8.47,947138,11183145,0.4386,16.948,43.86
Diamante do Norte,12.33,1890812,15339973,0.552,12.269,55.2
Diamante do Sul,4.12,597330,14505366,0.3929,0.3312,39.29
Diamante D'Oeste,7.94,1209778,15240882,0.4495,0.056,44.95
Dois Vizinhos,17.04,4438314,26045977,0.5782,3.779,57.82
Douradina,16.27,17001618,104495739,0.5257,10.415,52.57
Doutor Camargo,13.15,4548715,34580638,0.5827,0.764,58.27
Doutor Ulysses,4.74,662848,13992892,0.2923,0.1495,29.23
Enéas Marques,11.14,2110040,18939281,0.5235,24.732,52.35
Engenheiro Beltrão,13.98,3448929,24677313,0.5189,20.647,51.89
Entre Rios do Oeste,17.52,6614629,37765015,0.5782,0.6122,57.82
Esperança Nova,10.03,1338659,13346514,0.5302,0.4567,53.02
Espigão Alto do Iguaçu,6.62,1217357,18387546,0.4058,0.118,40.58
Farol,11.34,2070610,18251373,0.52,0.012,52.0
Faxinal,9.93,2897133,29183684,0.5409,26.291,54.09
Fazenda Rio Grande,19.09,1358002,7114987,0.568,10.496,56.8
Fênix,11.06,2459189,22240436,0.4971,0.3514,49.71
Fernandes Pinheiro,6.71,1280053,19071428,0.4675,0.4629,46.75
Figueira,13.89,1649582,11875756,0.4783,11.069,47.83
Flor da Serra do Sul,7.41,1279612,17272884,0.4733,0.2287,47.33
Floraí,12.52,4594182,36708562,0.5627,0.322,56.27
