Número,Município,Mesorregiões
326,Pato Bragado,Oeste Paranaense
327,Quatro Pontes,Oeste Paranaense
328,Ramilândia,Oeste Paranaense
329,Santa Helena,Oeste Paranaense
330,Santa Lúcia,Oeste Paranaense
331,Santa Tereza do Oeste,Oeste Paranaense
332,Santa Terezinha de Itaipu,Oeste Paranaense
333,São José das Palmeiras,Oeste Paranaense
334,São Miguel do Iguaçu,Oeste Paranaense
335,São Pedro do Iguaçu,Oeste Paranaense
336,Serranópolis do Iguaçu,Oeste Paranaense
337,Terra Roxa,Oeste Paranaense
338,Toledo,Oeste Paranaense
339,Três Barras do Paraná,Oeste Paranaense
340,Tupãssi,Oeste Paranaense
341,Vera Cruz do Oeste,Oeste Paranaense
342,Antônio Olinto,Sudeste Paranaense
343,Bituruna,Sudeste Paranaense
344,Cruz Machado,Sudeste Paranaense
345,Fernandes Pinheiro,Sudeste Paranaense
346,General Carneiro,Sudeste Paranaense
347,Guamiranga,Sudeste Paranaense
348,Imbituva,Sudeste Paranaense
349,Ipiranga,Sudeste Paranaense
350,Irati,Sudeste Paranaense
351,Ivaí,Sudeste Paranaense
352,Mallet,Sudeste Paranaense
353,Paula Freitas,Sudeste Paranaense
354,Paulo Frontin,Sudeste Paranaense
355,Porto Vitória,Sudeste Paranaense
356,Prudentópolis,Sudeste Paranaense
357,Rebouças,Sudeste Paranaense
358,Rio Azul,Sudeste Paranaense
359,São João do Triunfo,Sudeste Paranaense
360,São Mateus do Sul,Sudeste Paranaense
361,Teixeira Soares,Sudeste Paranaense
362,União da Vitória,Sudeste Paranaense
363,Ampére,Sudoeste Paranaense
364,Barracão,Sudoeste Paranaense
365,Bela Vista da Caroba,Sudoeste Paranaense
366,Boa Esperança do Iguaçu,Sudoeste Paranaense
367,Bom Jesus do Sul,Sudoeste Paranaense
368,Bom Sucesso do Sul,Sudoeste Paranaense
369,Capanema,Sudoeste Paranaense
370,Chopinzinho,Sudoeste Paranaense
371,Coronel Vivida,Sudoeste Paranaense
372,Cruzeiro do Iguaçu,Sudoeste Paranaense
373,Dois Vizinhos,Sudoeste Paranaense
374,Enéas Marques,Sudoeste Paranaense
375,Flor da Serra do Sul,Sudoeste Paranaense
376,Francisco Beltrão,Sudoeste Paranaense
377,Itapejara d'Oeste,Sudoeste Paranaense
378,Manfrinópolis,Sudoeste Paranaense
379,Mariópolis,Sudoeste Paranaense
380,Marmeleiro,Sudoeste Paranaense
381,Nova Esperança do Sudoeste,Sudoeste Paranaense
382,Nova Prata do Iguaçu,Sudoeste Paranaense
383,Pato Branco,Sudoeste Paranaense
384,Pérola d'Oeste,Sudoeste Paranaense
385,Pinhal de São Bento,Sudoeste Paranaense
386,Planalto,Sudoeste Paranaense
387,Pranchita,Sudoeste Paranaense
388,Realeza,Sudoeste Paranaense
389,Renascença,Sudoeste Paranaense
390,Salgado Filho,Sudoeste Paranaense
391,Salto do Lontra,Sudoeste Paranaense
392,Santa Izabel do Oeste,Sudoeste Paranaense
393,Santo Antônio do Sudoeste,Sudoeste Paranaense
394,São João,Sudoeste Paranaense
395,São Jorge d'Oeste,Sudoeste Paranaense
396,Saudade do Iguaçu,Sudoeste Paranaense
397,Sulina,Sudoeste Paranaense
398,Verê,Sudoeste Paranaense
399,Vitorino,Sudoeste Paranaense
