Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Foz do Iguaçu,2021,3103.06,3421.17,2766.87,0.55,156413,758148,156.41,758.15,80.87
Foz do Jordão,2021,2012.9,1793.49,2272.06,0.55,43018,420579,43.02,420.58,126.68
Francisco Alves,2021,1934.8,2070.65,1787.33,0.42,55910,531854,55.91,531.85,86.32
Francisco Beltrão,2021,2733.85,2873.94,2581.67,0.47,134564,743139,134.56,743.14,89.83
General Carneiro,2021,2292.75,2137.72,2574.38,0.49,37052,627553,37.05,627.55,120.43
Godoy Moreira,2021,2399.95,2433.03,2371.75,0.45,37289,532338,37.29,532.34,97.48
Goioerê,2021,2452.14,2668.85,2228.97,0.49,118237,793240,118.24,793.24,83.52
Goioxim,2021,2424.92,2243.59,2732.25,0.49,23562,548461,23.56,548.46,121.78
Grandes Rios,2021,1979.69,1910.48,2065.5,0.46,51122,610910,51.12,610.91,108.11
Guaíra,2021,2508.31,2591.24,2415.69,0.58,130761,1029214,130.76,1029.21,93.23
Guairaçá,2021,2550.67,2515.03,2605.67,0.45,53209,584155,53.21,584.16,103.6
Guamiranga,2021,2114.12,2061.19,2172.46,0.46,22710,581672,22.71,581.67,105.4
Guapirama,2021,2044.18,2049.15,2037.41,0.47,62634,472123,62.63,472.12,99.43
Guaporema,2021,2326.2,2453.6,2244.61,0.37,62295,576875,62.3,576.88,91.48
Guaraci,2021,2046.56,2308.07,1658.75,0.38,58058,499320,58.06,499.32,71.87
Guaraniaçu,2021,2388.21,2413.82,2357.49,0.55,82195,648696,82.2,648.7,97.67
Guarapuava,2021,2982.4,2991.2,2970.01,0.56,156616,971371,156.62,971.37,99.29
Guaraqueçaba,2021,1958.51,2029.66,1865.91,0.5,29706,473920,29.71,473.92,91.93
Guaratuba,2021,2423.68,2365.57,2475.22,0.56,103246,672893,103.25,672.89,104.64
Honório Serpa,2021,2665.5,2801.18,2466.18,0.48,45359,498266,45.36,498.27,88.04
Ibaiti,2021,1941.17,1968.46,1902.35,0.63,67834,583300,67.83,583.3,96.64
Ibema,2021,2234.13,2301.08,2168.35,0.44,45186,569968,45.19,569.97,94.23
Ibiporã,2021,2646.22,2720.62,2530.18,0.48,89441,601120,89.44,601.12,93.0
Icaraíma,2021,2220.94,2202.48,2246.14,0.43,82409,781527,82.41,781.53,101.98
Iguaraçu,2021,2294.56,2430.66,2115.84,0.42,96354,632857,96.35,632.86,87.05
Iguatu,2021,2141.14,2184.58,2099.17,0.47,44545,536686,44.55,536.69,96.09
Imbaú,2021,2423.27,2437.46,2408.37,0.43,38414,454337,38.41,454.34,98.81
Imbituva,2021,2223.24,2283.59,2121.74,0.52,53975,714895,53.98,714.9,92.91
Inácio Martins,2021,2024.81,2062.59,1961.18,0.52,25552,503837,25.55,503.84,95.08
Inajá,2021,2261.61,2256.77,2265.33,0.44,48262,594401,48.26,594.4,100.38
Indianópolis,2021,2280.73,2447.94,2062.24,0.36,70252,551278,70.25,551.28,84.24
Ipiranga,2021,2306.77,2259.55,2385.23,0.54,36793,457322,36.79,457.32,105.56
Iporã,2021,2367.25,2451.98,2254.71,0.45,78540,705172,78.54,705.17,91.95
Iracema do Oeste,2021,2318.53,2354.46,2280.06,0.41,80595,650246,80.6,650.25,96.84
Irati,2021,2344.94,2434.67,2236.22,0.49,100473,786682,100.47,786.68,91.85
Iretama,2021,2374.01,2480.5,2245.14,0.58,47664,598641,47.66,598.64,90.51
Itaguajé,2021,2320.41,2288.06,2351.92,0.41,64284,558213,64.28,558.21,102.79
Itaipulândia,2021,2847.89,2811.42,2890.2,0.63,72697,620895,72.7,620.9,102.8
Itambaracá,2021,2258.97,2314.6,2187.04,0.42,73263,707672,73.26,707.67,94.49
Itambé,2021,2237.61,2259.22,2216.41,0.36,121742,870867,121.74,870.87,98.11
