Localidade,Ano,Rendimento Médio (RAIS) - Total (R$ 1.00),Rendimento Médio (RAIS) - Masculino (R$ 1.00),Rendimento Médio (RAIS) - Feminino (R$ 1.00),Índice de Gini da Renda Domiciliar per Capita (2010),Renda Média da População (R$) ,Renda Média dos Declarantes (R$)
Marquinho,2021,2558.39,2636.55,2434.44,"0,5097",36339,630844
Marumbi,2021,1977.5,2229.02,1681.93,"0,4602",100255,930346
Matelândia,2021,1960.28,2133.0,1794.01,"0,4644",90999,631797
Matinhos,2021,2260.37,2294.6,2229.91,"0,4922",98556,624512
Mato Rico,2021,2179.75,2148.31,2212.01,"0,4615",34234,527662
Mauá da Serra,2021,2214.5,2290.01,2094.65,"0,4854",37463,556541
Medianeira,2021,2736.95,2988.07,2425.57,"0,4896",163379,817142
Mercedes,2021,2602.73,2805.34,2380.47,"0,4222",91821,670270
Mirador,2021,2302.88,2563.52,1982.64,"0,4191",39626,550745
Miraselva,2021,2700.67,2602.73,2769.31,"0,3904",114678,645648
Missal,2021,2689.52,2724.84,2650.92,"0,4679",131101,730126
Moreira Sales,2021,2356.45,2518.24,2171.24,"0,4486",52167,629448
Morretes,2021,2098.62,2191.79,2013.7,"0,5475",80898,507419
Munhoz de Melo,2021,2185.57,2146.16,2224.11,"0,3943",52755,570062
Nossa Senhora das Graças,2021,2358.13,2470.61,2278.16,"0,3327",87010,604393
Nova Aliança do Ivaí,2021,2262.44,2234.54,2293.57,"0,3423",59092,572826
Nova América da Colina,2021,2711.23,2732.47,2677.25,"0,3588",44223,530981
Nova Aurora,2021,2052.48,2233.74,1839.3,"0,5683",157501,866972
Nova Cantu,2021,2290.18,2446.52,2085.05,"0,482",67380,495658
Nova Esperança,2021,2400.03,2371.22,2437.2,"0,4693",55968,678360
Nova Esperança do Sudoeste,2021,2202.16,2439.6,1960.53,"0,5043",85536,736508
Nova Fátima,2021,2253.96,2218.27,2303.62,"0,4538",64020,628308
Nova Laranjeiras,2021,2527.36,2428.08,2659.99,"0,5688",32363,610500
Nova Londrina,2021,2397.84,2523.83,2175.61,"0,4986",100100,784168
Nova Olímpia,2021,2097.46,1985.09,2188.88,"0,3991",71289,640941
Nova Prata do Iguaçu,2021,2070.79,2088.75,2051.19,"0,4632",58239,697012
Nova Santa Bárbara,2021,2132.55,2124.5,2142.26,"0,5065",62334,601808
Nova Santa Rosa,2021,2572.98,2855.58,2230.86,"0,4148",129171,796809
Nova Tebas,2021,1982.39,2053.28,1922.67,"0,5017",45651,599294
Novo Itacolomi,2021,2325.58,2268.4,2385.68,"0,3819",57383,592612
Ortigueira,2021,3446.41,3690.21,2693.24,"0,5121",50620,644412
Ourizona,2021,2493.64,2338.55,2635.81,"0,4398",106340,798714
Ouro Verde do Oeste,2021,2417.74,2491.58,2303.08,"0,4151",79477,581672
Paiçandu,2021,2192.14,2405.49,2000.93,"0,369",59586,497221
Palmas,2021,2371.41,2518.61,2134.4,"0,5529",189768,1843016
Palmeira,2021,2555.81,2678.26,2402.3,"0,5864",102668,694273
Palmital,2021,2216.97,2219.26,2214.35,"0,5238",46586,510355
Palotina,2021,2613.63,2900.55,2267.18,"0,4823",220679,1036623
Paraíso do Norte,2021,2474.12,2791.94,1980.96,"0,4775",103271,655574
Paranacity,2021,2611.82,2555.03,2738.94,"0,4025",52144,565377
Paranaguá,2021,3170.83,3335.23,2864.45,"0,5235",111558,651646
Paranapoema,2021,1967.39,2172.23,1493.27,"0,4323",37664,573089
Paranavaí,2021,2639.86,2528.96,2772.13,"0,4805",135193,861825
Pato Bragado,2021,2419.58,2595.41,2236.55,"0,4343",86147,614382
Pato Branco,2021,3018.32,3259.32,2739.65,"0,5213",214463,929982
Paula Freitas,2021,2300.09,2289.66,2317.4,"0,6096",40847,577331
Paulo Frontin,2021,2309.66,2327.55,2291.47,"0,5265",39684,548956
Peabiru,2021,2465.67,2483.37,2441.42,"0,5536",84958,650281
Perobal,2021,2451.7,2463.0,2439.29,"0,4087",56828,546970
Pérola,2021,2050.52,2068.19,2034.11,"0,3709",62657,626368
Pérola d'Oeste,2021,2028.28,2224.84,1734.99,"0,444",64845,677223
Piên,2021,2978.77,3271.62,2586.8,"0,4322",52469,546854
Pinhais,2021,2817.43,3005.79,2536.22,"0,5082",155651,766174
Pinhal de São Bento,2021,2319.85,2070.65,2521.94,"0,3697",23272,517852
Pinhalão,2021,2090.6,2037.86,2144.87,"0,4924",53764,674613
Pinhão,2021,2368.58,2652.61,1992.17,"0,5356",44815,605444
Piraí do Sul,2021,2772.77,2770.32,2777.36,"0,5609",73468,625674
Piraquara,2021,2675.68,2641.34,2703.7,"0,4307",58505,509644
Pitanga,2021,2533.12,2361.79,2834.27,"0,5279",88468,742656
Pitangueiras,2021,2467.01,2547.15,2399.18,"0,3278",52570,522815
Planaltina do Paraná,2021,2113.77,2062.95,2201.79,"0,4313",73918,629036
Planalto,2021,2359.96,2499.34,2198.69,"0,4736",57572,614175
Ponta Grossa,2021,2928.53,3106.83,2674.74,"0,5437",150826,775590
Pontal do Paraná,2021,2361.25,2311.76,2406.76,"0,5124",85547,545587
Porecatu,2021,1933.84,1900.11,1972.82,"0,431",113379,669768
Porto Amazonas,2021,2539.22,2754.48,2151.42,"0,5116",56668,484560
Porto Barreiro,2021,3268.52,3225.99,3316.02,"0,5241",39305,539433
Porto Rico,2021,2482.35,2478.01,2489.15,"0,4874",85824,592878
Porto Vitória,2021,2078.99,2008.65,2188.69,"0,4494",34862,542436
Prado Ferreira,2021,2317.61,2382.76,2155.12,"0,5101",49576,497073
Pranchita,2021,2354.1,2463.98,2183.57,"0,5191",127685,791427
Presidente Castelo Branco,2021,2171.7,2036.6,2377.9,"0,3858",42910,505749
Primeiro de Maio,2021,2431.92,2640.46,2185.05,"0,4783",184668,1350432
Prudentópolis,2021,2222.98,2297.05,2130.41,"0,4777",63050,835463
Quarto Centenário,2021,2679.2,2715.86,2626.11,"0,6104",64311,658603
Quatiguá,2021,2257.76,2342.27,2138.34,"0,4286",82950,667615
Quatro Barras,2021,3470.18,3721.13,2913.49,"0,4915",130161,707178
Quatro Pontes,2021,2924.54,3198.27,2522.14,"0,4699",150886,682290
Quedas do Iguaçu,2021,2310.9,2516.13,2063.78,"0,5821",53981,655178
Querência do Norte,2021,2388.93,2440.36,2318.48,"0,5073",48088,824980
Quinta do Sol,2021,2307.02,2484.61,2030.83,"0,443",79339,631912
Quitandinha,2021,2566.6,2435.74,2686.75,"0,4853",36346,530047
Ramilândia,2021,2394.08,2289.47,2527.22,"0,4775",36611,557387
Rancho Alegre,2021,2353.03,2341.46,2366.2,"0,5072",77125,629456
Rancho Alegre D'Oeste,2021,3080.88,2999.65,3219.89,"0,4512",65767,556739
Realeza,2021,2199.99,2395.16,1961.15,"0,4387",97936,630705
Rebouças,2021,2125.03,2235.08,2005.22,"0,5224",47156,541736
Renascença,2021,2571.13,2786.63,2226.33,"0,5789",85355,614971
Reserva,2021,2076.52,2089.52,2056.76,"0,5091",33918,508712
Reserva do Iguaçu,2021,2281.13,2288.67,2273.12,"0,5729",44328,591294
Ribeirão Claro,2021,2238.89,2233.45,2245.92,"0,5485",110457,812027
Ribeirão do Pinhal,2021,1832.38,1945.11,1656.85,"0,5064",56898,657197
Rio Azul,2021,2704.58,2858.23,2534.47,"0,6383",38505,584082
Rio Bom,2021,2014.76,1997.3,2031.94,"0,4376",46740,607050
Rio Bonito do Iguaçu,2021,2434.98,2418.87,2452.64,"0,5123",25773,520771
Rio Branco do Ivaí,2021,1876.13,2035.2,1540.08,"0,4999",39007,536058
Rio Branco do Sul,2021,2560.79,2692.5,2270.45,"0,4759",51557,503904
Rio Negro,2021,2565.21,2782.59,2266.89,"0,4826",104048,701491
Rolândia,2021,2638.77,2810.56,2436.89,"0,4622",133529,819975
Roncador,2021,2396.65,2519.03,2236.11,"0,5362",67742,622852
Rondon,2021,2192.79,2243.98,2112.14,"0,4133",70293,629758
Rosário do Ivaí,2021,1851.94,1873.67,1831.06,"0,481",44873,507012
Sabáudia,2021,2135.7,2179.99,2054.07,"0,4166",85501,630818
Salgado Filho,2021,1876.67,2060.18,1755.78,"0,4586",57229,576093
Salto do Itararé,2021,1479.96,1651.43,1362.89,"0,4231",44817,593278
Salto do Lontra,2021,1882.84,1878.65,1887.65,"0,4627",50425,588167
Santa Amélia,2021,2147.96,2018.16,2285.78,"0,414",70068,794591
Santa Cecília do Pavão,2021,2243.22,2406.66,2037.17,"0,4799",78705,738395
Santa Cruz de Monte Castelo,2021,2274.17,2363.21,2161.25,"0,3819",71291,704816
Santa Fé,2021,2222.98,2270.01,2178.37,"0,4182",81130,759331
Santa Helena,2021,2748.47,2751.18,2745.53,"0,5292",100395,759757
Santa Inês,2021,2419.23,2472.13,2359.1,"0,3908",76521,631994
Santa Isabel do Ivaí,2021,2289.55,2332.54,2226.78,"0,414",90857,803294
Santa Izabel do Oeste,2021,2255.89,2482.71,2032.14,"0,4509",58776,805873
Santa Lúcia,2021,2090.1,2193.17,1971.84,"0,4455",46812,580258
Santa Maria do Oeste,2021,2339.03,2372.64,2304.4,"0,4854",36023,559371
Santa Mariana,2021,2444.88,2702.61,2073.15,"0,4377",92231,671198
Santa Mônica,2021,2143.29,2193.71,2058.09,"0,4853",25472,446809
Santa Tereza do Oeste,2021,2534.67,2692.47,2285.99,"0,4512",81353,563719
Santa Terezinha de Itaipu,2021,2293.64,2402.46,2167.34,"0,4626",122548,775504
Santana do Itararé,2021,1886.41,1882.66,1891.99,"0,5113",41296,511455
Santo Antônio da Platina,2021,2111.31,2204.05,2011.84,"0,548",92405,710177
Santo Antônio do Caiuá,2021,1990.86,1993.69,1987.35,"0,3605",41772,505499
Santo Antônio do Paraíso,2021,2089.75,2194.01,1951.47,"0,4879",117481,916792
Santo Antônio do Sudoeste,2021,2190.57,2354.16,2022.77,"0,5244",62431,632772
Santo Inácio,2021,2683.69,2911.1,2276.33,"0,5303",97828,626287
São Carlos do Ivaí,2021,2640.31,2798.96,2352.03,"0,3999",65790,659807
São Jerônimo da Serra,2021,2179.35,2177.14,2181.65,"0,5527",32500,504407
São João,2021,2153.76,2393.16,1914.85,"0,4365",55303,620776
São João do Caiuá,2021,2309.29,2310.2,2308.14,"0,4663",96677,825280
São João do Ivaí,2021,2364.17,2481.83,2240.91,"0,4367",35577,663679
São João do Triunfo,2021,2645.2,2622.93,2668.01,"0,5",116570,726315
São Jorge do Ivaí,2021,2343.99,2519.86,2102.28,"0,4328",166642,985803
São Jorge do Patrocínio,2021,1676.44,1769.02,1578.84,"0,402",56616,640194
São Jorge d'Oeste,2021,2388.62,2744.92,2013.54,"0,4758",73497,618387
São José da Boa Vista,2021,1851.99,1750.25,1974.07,"0,4375",39214,541606
São José das Palmeiras,2021,2132.77,2196.8,2056.2,"0,4549",61168,526974
São José dos Pinhais,2021,3496.77,3777.09,3036.35,"0,4599",117919,592826
